2023.11.07 11:21:12 INFO  Started: Metals version 1.1.0 in folders 'C:\Users\I will fight\IdeaProjects\Own\Gym' for client Visual Studio Code 1.84.0.
2023.11.07 11:21:14 WARN  Build server is not auto-connectable.
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\controller\HelloController.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\database\DatabaseLoader.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\model\Client.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\model\User.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\database\UserRepository.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\controller\UserController.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\Application.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\model\Scheedule.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\model\TrainingApparatus.java
2023.11.07 11:21:14 WARN  no build target for: C:\Users\I will fight\IdeaProjects\Own\Gym\src\main\java\scripts\server\model\TrainingRoom.java
2023.11.07 11:21:16 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/database/DatabaseLoader.java. Output:

2023.11.07 11:21:16 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/model/User.java. Output:

2023.11.07 11:21:16 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/database/UserRepository.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/model/TrainingApparatus.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/model/TrainingRoom.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/Application.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/model/Client.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/controller/UserController.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/model/Scheedule.java. Output:

2023.11.07 11:21:17 WARN  Running javac-semanticdb failed for file:///C:/Users/I%20will%20fight/IdeaProjects/Own/Gym/src/main/java/scripts/server/controller/HelloController.java. Output:

2023.11.07 11:22:52 INFO  Shutting down server
2023.11.07 11:22:52 INFO  shutting down Metals
2023.11.07 11:22:52 INFO  Exiting server
